144,Anthony Rocco Martin,15-4-0,https://images.tapology.com/headshot_images/19908/icon/Anthony_Rocco_Martin.jpg?1547009330
147,Kevin "The Silencer" Belingon,20-5-0,https://images.tapology.com/headshot_images/11989/icon/Kevin-Belingon-hs.jpeg?1328037582
146,"Groovy" Lando Vannata,9-3-2,https://images.tapology.com/headshot_images/15643/icon/Landon_Vannata-hs.jpg?1467144348
148,Antônio Carlos "Cara de Sapato" Júnior,10-2-0 / 1 NC,https://images.tapology.com/headshot_images/54308/icon/sapato2.jpg?1378394223
150,Bibiano "The Flash" Fernandes,22-4-0,https://images.tapology.com/headshot_images/252/icon/Bibiano_Fernandes.jpg?1521567156
149,Blagoy "Baga" Ivanov,16-2-0 / 1 NC,https://images.tapology.com/headshot_images/394/icon/Blagoi_Ivanov-hs.jpg?1531107395
151,Sergei "The Paratrooper" Kharitonov,29-7-0 / 1 NC,https://images.tapology.com/headshot_images/109/icon/Sergei_Kharitonov.jpg?1543962751
152,Emmanuel "El Matador" Sanchez,17-4-0,https://images.tapology.com/headshot_images/25350/icon/Emmanuel_Sanchez.jpg?1542263957
154,Yadong "The Terminator" Song,14-4-0 / 1 NC,https://images.tapology.com/headshot_images/47836/icon/Yadong_Song.jpg?1511195576
153,Michael "The Menace" Johnson,19-13-0,https://images.tapology.com/headshot_images/10785/icon/Michael-Johnson-hs.jpg?1424130612
155,Kevin "Trail Blazer" Holland,14-4-0,https://images.tapology.com/headshot_images/35757/icon/Kevin_Holland-hs.jpg?1532484019
158,Anthony "Rumble" Johnson,22-6-0,https://images.tapology.com/headshot_images/218/icon/Anthony-Johnson-hs.jpg?1422416589
157,Alexandre "The Cannibal" Pantoja,20-3-0,https://images.tapology.com/headshot_images/12767/icon/Alexandre-Pantoja-hs.jpg?1332719067
156,"The Leech" Jingliang Li,16-5-0,https://images.tapology.com/headshot_images/11352/icon/Jingliang_Li.jpg?1539911627
159,Lance "The Party" Palmer,17-3-0,https://images.tapology.com/headshot_images/20661/icon/Lance_Palmer.jpg?1546277538
162,Roberto "Robocop" Soldić,15-3-0,https://images.tapology.com/headshot_images/90283/icon/Roberto_Soldic-hs.jpg?1546645604
161,"Hurricane" Shane Burgos,11-1-0,https://images.tapology.com/headshot_images/37627/icon/shaneburgos.jpeg?1414150615
160,Jiří "Denisa" Procházka,23-3-1,https://images.tapology.com/headshot_images/34779/icon/jiri_prochazka_headshot_new.png?1448149050
163,Jim "A-10" Miller,29-13-0 / 1 NC,https://images.tapology.com/headshot_images/32/icon/Jim-Miller-Charles-Oliveira-057-UFC-124.jpg?1292265160
164,Yusup "Wolf" Raisov,14-1-0,https://images.tapology.com/headshot_images/69805/icon/yusup_raisov_headshot_2.jpg?1435059728
165,Damir Ismagulov,17-1-0,https://images.tapology.com/headshot_images/81591/icon/Damir_Ismagulov-hs.jpg?1542832524
167,Mateusz "Gamer" Gamrot,15-0-0 / 1 NC,https://images.tapology.com/headshot_images/26305/icon/Mateusz_Gamrot.jpg?1543513540
166,Andrei "The Pitbull" Arlovski,27-18-0 / 1 NC,https://images.tapology.com/headshot_images/9/icon/Andrei-Arlovski.jpg?1430582680
168,Rustam Kerimov,12-0-0,https://images.tapology.com/headshot_images/133998/icon/rustam_kerimov_headshot_2.jpg?1465087423
169,Marcin Held,25-7-0,https://images.tapology.com/headshot_images/4035/icon/Marcin-Held-hs.jpg?1363578077
171,Max "Pain" Griffin,14-5-0,https://images.tapology.com/headshot_images/25437/icon/Max-Griffin-hs.jpeg?1367526800
170,Cain Velasquez,14-2-0,https://images.tapology.com/headshot_images/192/icon/Cain-Velasquez-hs.jpg?1424706158
